source_line_id,vendor_id,invoice_id,line_number,job_id,amount,currency
L001,V001,INV100,1,J001,2100.00,USD
L002,V001,INV100,2,J003,3200.00,USD
L003,V002,INV200,1,J002,250.00,USD
L004,V002,INV200,2,J004,125.00,USD
L005,V001,INV101,1,J005,1000.00,USD
L006,V003,INV300,1,J007,1800.00,USD
L007,V001,CREDIT100,1,J001,-100.00,USD
L008,V003,INV301,1,J999,400.00,USD
L009,V001,INV100,1,J001,2100.00,USD
L010,V002,INV201,1,J002,NOT-A-NUMBER,USD
L011,V001,INV102,1,J003,50.00,USD
L012,V003,INV302,1,J006,300.00,USD
L013,V003,INV303,1,J001,80.00,USD
